 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 RESTART OPTION: INITIAL SOLUTION IS READ
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
    1346 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1347 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1348 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1349 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1350 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1351 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1352 0.375E-05 0.598E-05 0.218E-05 0.505E-05
    1353 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1354 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1355 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1356 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1357 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1358 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1359 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1360 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1361 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1362 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1363 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1364 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1365 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1366 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1367 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1368 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1369 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1370 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1371 0.375E-05 0.598E-05 0.255E-05 0.505E-05
    1372 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1373 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1374 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1375 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1376 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1377 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1378 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1379 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1380 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1381 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1382 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1383 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1384 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1385 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1386 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1387 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1388 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1389 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1390 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1391 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1392 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1393 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1394 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1395 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1396 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1397 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1398 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1399 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1400 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1401 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1402 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1403 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1404 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1405 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1406 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1407 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1408 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1409 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1410 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1411 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1412 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1413 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1414 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1415 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1416 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1417 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1418 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1419 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1420 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1421 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1422 0.375E-05 0.523E-05 0.255E-05 0.505E-05
